"","user","date.new","date.is_weekend","nonsocial_usage","social_usage","steps_total"
"1","582","2020-02-01","1",1043,547,NA
"2","582","2020-02-02","1",1408,2804,16
"3","582","2020-02-03","0",4379,794,6698
"4","582","2020-02-04","0",6907,8857,7891
"5","582","2020-02-05","0",1223,3695,NA
"6","582","2020-02-06","0",127,208,NA
"7","582","2020-02-07","0",NA,NA,1541
"8","582","2020-02-08","1",8996,12155,8092
"9","582","2020-02-09","1",1815,2622,682
"10","582","2020-02-10","0",NA,NA,NA
"11","582","2020-02-11","0",7695,6234,6251
"12","582","2020-02-12","0",457,2509,2444
"13","582","2020-02-13","0",4141,4224,8928
"14","582","2020-02-14","0",2771,4415,55
"15","582","2020-02-15","1",867,1368,1386
"16","582","2020-02-16","1",19582,2919,0
"17","582","2020-02-17","0",8929,1411,2648
"18","582","2020-02-18","0",4153,2597,11741
"19","582","2020-02-19","0",388,530,2113
"20","582","2020-02-20","0",2188,3326,6733
"21","582","2020-02-21","0",2479,7677,8700
"22","582","2020-02-22","1",2244,659,15703
"23","582","2020-02-23","1",3252,1289,5271
"24","582","2020-02-24","0",NA,NA,4463
"25","582","2020-02-25","0",2488,9933,2339
"26","582","2020-02-26","0",7708,1092,11381
"27","582","2020-02-27","0",1359,2010,188
"28","582","2020-02-28","0",86,2105,227
"29","582","2020-02-29","1",NA,NA,0
"30","582","2020-03-01","1",99,2370,2806
"31","582","2020-03-02","0",2205,1800,5819
"32","582","2020-03-03","0",709,334,1
"33","582","2020-03-04","0",2002,5219,603
"34","582","2020-03-05","0",116,406,NA
"35","582","2020-03-06","0",1346,2286,8
"36","582","2020-03-07","1",7498,3447,845
"37","582","2020-03-08","1",2226,1489,5331
"38","582","2020-03-09","0",437,2736,2648
"39","582","2020-03-10","0",16290,10491,1347
"40","582","2020-03-11","0",10966,3238,NA
"41","582","2020-03-12","0",4777,1039,1724
"42","582","2020-03-13","0",173,266,25105
"43","582","2020-03-14","1",1440,41,18
"44","582","2020-03-15","1",2440,48,669
"45","582","2020-03-16","0",621,93,35
"46","582","2020-03-17","0",104,1676,NA
"47","582","2020-03-18","0",NA,NA,1026
"48","582","2020-03-19","0",2890,2414,172
"49","582","2020-03-20","0",809,7271,1326
"50","582","2020-03-21","1",1111,5508,226
"51","582","2020-03-22","1",24,1286,0
"52","582","2020-03-23","0",2076,1315,0
"53","582","2020-03-24","0",389,2455,2218
"54","582","2020-03-25","0",1266,678,96
"55","582","2020-03-26","0",1251,4599,1063
"56","582","2020-03-27","0",112,1945,0
"57","582","2020-03-28","1",1534,6066,190
"58","582","2020-03-29","1",18,287,104
"59","582","2020-03-30","0",NA,NA,NA
"60","582","2020-03-31","0",115,13094,32
"61","582","2020-04-01","0",NA,NA,4785
"62","582","2020-04-02",NA,NA,NA,NA
"63","582","2020-04-03","0",5459,2435,977
"64","582","2020-04-04","1",144,3056,504
"65","582","2020-04-05","1",4594,5741,1452
"66","582","2020-04-06","0",659,1376,0
"67","582","2020-04-07","0",NA,NA,556
"68","582","2020-04-08","0",850,4254,1787
"69","582","2020-04-09","0",149,13,3027
"70","582","2020-04-10","0",NA,NA,235
"71","582","2020-04-11",NA,NA,NA,NA
"72","582","2020-04-13","0",1934,988,283
"73","582","2020-04-14","0",559,3723,0
"74","582","2020-04-15","0",345,1281,0
"75","582","2020-04-16","0",1610,1118,648
"76","582","2020-04-17","0",1603,275,521
"77","582","2020-04-18","1",NA,NA,124
"78","582","2020-04-19","1",NA,NA,NA
"79","582","2020-04-20","0",9183,747,107
"80","582","2020-04-21","0",NA,NA,542
"81","582","2020-04-22","0",753,1332,1781
"82","582","2020-04-23","0",NA,NA,29
"83","582","2020-04-24","0",1211,5649,1572
"84","582","2020-04-25","1",NA,NA,336
"85","582","2020-04-26",NA,NA,NA,NA
"86","1259","2020-02-01","1",NA,NA,NA
"87","1259","2020-02-02","1",265,6,NA
"88","1259","2020-02-03","0",NA,NA,NA
"89","1259","2020-02-04","0",3367,7299,7867
"90","1259","2020-02-05","0",1035,2037,6450
"91","1259","2020-02-06","0",739,784,4948
"92","1259","2020-02-07","0",NA,NA,NA
"93","1259","2020-02-08","1",4820,986,1334
"94","1259","2020-02-09","1",260,2322,8290
"95","1259","2020-02-10","0",10316,5765,9339
"96","1259","2020-02-11","0",1360,8125,14706
"97","1259","2020-02-12","0",6569,12260,3039
"98","1259","2020-02-13","0",446,1938,1766
"99","1259","2020-02-14","0",211,2269,25323
"100","1259","2020-02-15","1",7973,417,2203
"101","1259","2020-02-16","1",5098,3468,585
"102","1259","2020-02-17","0",232,1284,0
"103","1259","2020-02-18","0",NA,NA,10381
"104","1259","2020-02-19","0",2637,368,NA
"105","1259","2020-02-20","0",627,1199,4164
"106","1259","2020-02-21","0",1385,1009,7254
"107","1259","2020-02-22","1",4596,921,3153
