"","user","date.new","date.is_weekend","nonsocial_usage","social_usage","steps_total","valence"
"1",582,"2020-02-01","1",NA,NA,NA,-1
"2",582,"2020-02-02","1",12820,21093,1423,0
"3",582,"2020-02-03","0",128,491,4659,0.5
"4",582,"2020-02-04","0",2598,4189,2658,1
"5",582,"2020-02-05","0",6017,12716,3445,1
"6",582,"2020-02-06","0",3246,3970,10414,1
"7",582,"2020-02-07","0",1062,1369,4,-1
"8",582,"2020-02-08","1",627,1084,3902,0
"9",582,"2020-02-09","1",4510,2678,157,0.5
"10",582,"2020-02-10","0",126,127,1032,1
"11",582,"2020-02-11","0",4379,749,3518,-1
"12",582,"2020-02-12","0",7214,1711,5169,1
"13",582,"2020-02-13","0",1559,761,9475,-1
"14",582,"2020-02-14","0",NA,NA,NA,-0.666666666666667
"15",582,"2020-02-15","1",3841,9196,3084,-1
"16",582,"2020-02-16","1",385,415,2613,-0.666666666666667
"17",582,"2020-02-17","0",6850,11183,2008,-0.333333333333333
"18",582,"2020-02-18","0",NA,NA,11089,0
"19",582,"2020-02-19","0",9930,1228,4918,-1
"20",582,"2020-02-20","0",3832,5610,7624,-1
"21",582,"2020-02-21","0",1013,966,9561,0
"22",582,"2020-02-22","1",2568,3081,3478,1
"23",582,"2020-02-23","1",1614,3918,4111,-1
"24",582,"2020-02-24","0",2929,8979,5565,-1
"25",582,"2020-02-25","0",4910,2959,6848,-1
"26",582,"2020-02-26","0",NA,NA,NA,-1
"27",582,"2020-02-27","0",565,1051,2815,-1
"28",582,"2020-02-28","0",3535,6927,52,-1
"29",582,"2020-02-29","1",3821,625,51,-1
"30",582,"2020-03-01","1",NA,NA,NA,0
"31",582,"2020-03-02","0",2292,1728,1261,-1
"32",582,"2020-03-03","0",1181,8494,6930,-1
"33",582,"2020-03-04","0",2494,1881,3298,-1
"34",582,"2020-03-05","0",1769,1238,10285,NA
"35",582,"2020-03-06","0",2488,11384,2347,NA
"36",582,"2020-03-07","1",NA,NA,5672,NA
"37",582,"2020-03-08","1",7041,771,609,NA
"38",582,"2020-03-09","0",NA,NA,NA,NA
"39",582,"2020-03-10","0",1541,2470,4873,NA
"40",582,"2020-03-11","0",1036,2820,4406,NA
"41",582,"2020-03-12","0",12155,2442,12637,NA
"42",582,"2020-03-13","0",2352,6136,6272,0
"43",582,"2020-03-14","1",NA,NA,220,-1
"44",582,"2020-03-15","1",782,1036,183,NA
"45",582,"2020-03-16","0",NA,NA,382,NA
"46",582,"2020-03-17","0",1116,3532,144,NA
"47",582,"2020-03-18","0",NA,NA,1619,NA
"48",582,"2020-03-19","0",154,3760,4485,NA
"49",582,"2020-03-20","0",NA,NA,37,NA
"50",582,"2020-03-21","1",NA,NA,NA,NA
"51",582,"2020-03-22","1",191,1834,319,NA
"52",582,"2020-03-23","0",2128,1475,NA,NA
"53",582,"2020-03-24","0",NA,NA,NA,-1
"54",582,"2020-03-25","0",688,2081,446,-1
"55",582,"2020-03-26","0",1114,2047,2016,-1
"56",582,"2020-03-27","0",235,3327,1389,-1
"57",582,"2020-03-28","1",713,3540,938,-0.833333333333333
"58",582,"2020-03-29","1",528,12196,2023,-0.666666666666667
"59",582,"2020-03-30","0",2984,1202,1809,-0.5
"60",582,"2020-03-31","0",6569,14564,1238,-0.25
"61",582,"2020-04-01","0",NA,NA,NA,0
"62",582,"2020-04-02",NA,NA,NA,NA,-0.5
"63",582,"2020-04-03","0",NA,NA,NA,-1
"64",582,"2020-04-04","1",778,4842,1113,-0.25
"65",582,"2020-04-05","1",3704,5058,232,0.5
"66",582,"2020-04-06","0",22619,5977,3193,-0.25
"67",582,"2020-04-07","0",27076,3155,218,-1
"68",582,"2020-04-08","0",2932,710,25,-1
"69",582,"2020-04-09","0",NA,NA,NA,-1
"70",582,"2020-04-10","0",431,1118,636,1
"71",582,"2020-04-11",NA,NA,NA,NA,1
"72",582,"2020-04-13","0",NA,NA,NA,1
"73",582,"2020-04-14","0",NA,NA,187,-1
"74",582,"2020-04-15","0",NA,NA,NA,NA
"75",582,"2020-04-16","0",954,18642,182,NA
"76",582,"2020-04-17","0",3419,7039,4054,NA
"77",582,"2020-04-18","1",NA,NA,315,NA
"78",582,"2020-04-19","1",13720,18064,0,NA
"79",582,"2020-04-20","0",594,5181,699,NA
"80",582,"2020-04-21","0",223,5591,2115,NA
"81",582,"2020-04-22","0",NA,NA,6101,NA
"82",582,"2020-04-23","0",817,2611,349,NA
"83",582,"2020-04-24","0",5126,9654,8651,NA
"84",582,"2020-04-25","1",NA,NA,NA,0
"85",582,"2020-04-26",NA,68,1475,NA,NA
"86",2680,"2020-02-01",NA,NA,NA,NA,NA
"87",2680,"2020-02-02",NA,NA,NA,NA,NA
"88",2680,"2020-02-03",NA,9425,5969,NA,NA
"89",2680,"2020-02-04",NA,NA,NA,NA,NA
"90",2680,"2020-02-05",NA,10630,5413,NA,NA
"91",2680,"2020-02-06",NA,NA,NA,NA,NA
"92",2680,"2020-02-07",NA,NA,NA,NA,NA
"93",2680,"2020-02-08",NA,34999,5931,NA,NA
"94",2680,"2020-02-09",NA,NA,NA,NA,NA
"95",2680,"2020-02-10",NA,911,8579,NA,NA
"96",2680,"2020-02-11",NA,NA,NA,NA,NA
"97",2680,"2020-02-12",NA,NA,NA,NA,NA
"98",2680,"2020-02-13",NA,NA,NA,NA,NA
"99",2680,"2020-02-14",NA,NA,NA,NA,NA
"100",2680,"2020-02-15",NA,NA,NA,NA,NA
"101",2680,"2020-02-16",NA,NA,NA,NA,NA
"102",2680,"2020-02-17","0",1300,1704,58,0
"103",2680,"2020-02-18","0",992,2097,1990,1
"104",2680,"2020-02-19","0",24780,784,2410,0.333333333333333
"105",2680,"2020-02-20",NA,3504,5931,NA,-0.333333333333333
"106",2680,"2020-02-21","0",4529,1409,5145,-1
"107",2680,"2020-02-22","1",3055,4482,10591,-0.5
"108",2680,"2020-02-23","1",1064,14218,3572,0
"109",2680,"2020-02-24","0",18388,3256,7518,-0.5
"110",2680,"2020-02-25","0",1760,2279,12158,-1
"111",2680,"2020-02-26","0",NA,NA,NA,-1
"112",2680,"2020-02-27","0",358,185,2891,-1
"113",2680,"2020-02-28","0",NA,NA,226,-1
"114",2680,"2020-02-29","1",3799,1654,4887,-1
"115",2680,"2020-03-01","1",NA,NA,NA,-1
"116",2680,"2020-03-02","0",1168,1749,7968,-1
"117",2680,"2020-03-03","0",NA,NA,5005,-1
"118",2680,"2020-03-04","0",NA,NA,NA,NA
"119",2680,"2020-03-05","0",13424,1636,7493,NA
"120",2680,"2020-03-06","0",864,1365,6276,NA
"121",2680,"2020-03-07","1",NA,NA,NA,NA
"122",2680,"2020-03-08","1",2163,986,41,NA
"123",2680,"2020-03-09","0",111,2942,2422,NA
"124",2680,"2020-03-10","0",7213,6992,4000,NA
"125",2680,"2020-03-11","0",6225,5101,466,NA
"126",2680,"2020-03-12","0",17690,11036,3974,NA
"127",2680,"2020-03-13","0",1367,3725,15416,1
"128",2680,"2020-03-14","1",145,2238,848,NA
"129",2680,"2020-03-15","1",NA,NA,NA,NA
"130",2680,"2020-03-16","0",308,1418,30,NA
"131",2680,"2020-03-17","0",NA,NA,319,NA
"132",2680,"2020-03-18","0",NA,NA,293,NA
"133",2680,"2020-03-19","0",NA,NA,0,-1
"134",2680,"2020-03-20","0",3709,9808,58,-0.5
"135",2680,"2020-03-21","1",2376,4383,54,0
"136",2680,"2020-03-22","1",NA,NA,3054,0.5
"137",2680,"2020-03-23","0",NA,NA,1572,1
"138",2680,"2020-03-24","0",1393,15724,587,0.5
"139",2680,"2020-03-25","0",3131,9234,197,0
"140",2680,"2020-03-26","0",23874,6439,2932,-0.5
"141",2680,"2020-03-27","0",NA,NA,NA,-1
"142",2680,"2020-03-28","1",NA,NA,599,NA
"143",2680,"2020-03-29","1",NA,NA,NA,NA
"144",2680,"2020-03-30","0",3274,15138,575,NA
"145",2680,"2020-03-31","0",206,23,NA,NA
"146",2680,"2020-04-01","0",10711,5246,3353,NA
"147",2680,"2020-04-02","0",NA,NA,1,NA
"148",2680,"2020-04-03","0",3704,4901,329,NA
"149",2680,"2020-04-04","1",NA,NA,497,0
"150",2680,"2020-04-05","1",916,9494,2172,-0.333333333333333
"151",2680,"2020-04-06","0",NA,NA,234,-0.666666666666667
"152",2680,"2020-04-07","0",899,490,NA,-1
"153",2680,"2020-04-08","0",NA,NA,2222,-1
"154",2680,"2020-04-09","0",6788,10685,176,-1
"155",2680,"2020-04-10","0",557,1103,0,-1
"156",2680,"2020-04-11","1",2952,6785,2733,-1
"157",2680,"2020-04-13","0",3175,4922,56,-1
"158",2680,"2020-04-14","0",NA,NA,81,-1
"159",2680,"2020-04-15","0",5405,5633,601,-1
"160",2680,"2020-04-16","0",NA,NA,NA,-1
"161",2680,"2020-04-17","0",8207,6397,1216,-1
"162",2680,"2020-04-18","1",20296,5488,4109,-1
"163",2680,"2020-04-19","1",846,1816,1883,-1
"164",2680,"2020-04-20","0",NA,NA,NA,-1
"165",2680,"2020-04-21","0",NA,NA,37,-0.933333333333333
"166",2680,"2020-04-22","0",94,723,236,-0.866666666666667
"167",2680,"2020-04-23","0",1322,2091,56,-0.8
"168",2680,"2020-04-24","0",NA,NA,NA,-0.733333333333334
"169",2680,"2020-04-25","1",472,622,56,-0.666666666666667
"170",2680,"2020-04-26","1",2030,12070,220,-1
"171",9105,"2020-02-01","1",37,1063,966,0
"172",9105,"2020-02-02","1",3894,753,21,-0.666666666666667
"173",9105,"2020-02-03","0",5840,4439,927,0.5
"174",9105,"2020-02-04","0",2127,1300,5010,0
"175",9105,"2020-02-05","0",1301,2442,9475,-1
"176",9105,"2020-02-06","0",3949,10021,9210,-1
"177",9105,"2020-02-07","0",NA,NA,NA,-1
"178",9105,"2020-02-08","1",4854,415,2672,-1
"179",9105,"2020-02-09","1",3329,4386,6401,-1
"180",9105,"2020-02-10","0",5114,7428,14707,-1
"181",9105,"2020-02-11","0",1290,2811,559,-1
"182",9105,"2020-02-12","0",2656,1791,7557,1
"183",9105,"2020-02-13","0",3294,389,2800,-1
"184",9105,"2020-02-14","0",1190,2350,4195,-1
"185",9105,"2020-02-15","1",1976,6604,2423,-1
"186",9105,"2020-02-16","1",2416,676,21818,-1
"187",9105,"2020-02-17","0",NA,NA,14523,-1
"188",9105,"2020-02-18","0",5081,1167,653,-1
"189",9105,"2020-02-19","0",190,177,744,-1
"190",9105,"2020-02-20","0",1483,5703,10587,-1
"191",9105,"2020-02-21","0",66,2396,3225,-1
"192",9105,"2020-02-22","1",12735,3199,3423,-1
"193",9105,"2020-02-23","1",5668,21093,1465,-0.5
"194",9105,"2020-02-24","0",2984,1165,1724,0
"195",9105,"2020-02-25","0",1474,1250,8396,0
"196",9105,"2020-02-26","0",NA,NA,NA,0
"197",9105,"2020-02-27","0",632,2820,4417,-0.5
"198",9105,"2020-02-28","0",7495,612,7415,-1
"199",9105,"2020-02-29","1",5840,5559,913,1
"200",9105,"2020-03-01","1",982,204,1619,0
"201",9105,"2020-03-02","0",77,1167,601,-1
"202",9105,"2020-03-03","0",576,4959,131,-0.333333333333333
"203",9105,"2020-03-04","0",1171,2316,2696,0.333333333333333
"204",9105,"2020-03-05","0",4801,4953,9373,1
"205",9105,"2020-03-06","0",7569,4497,4973,0
"206",9105,"2020-03-07","1",3895,2052,3421,-1
"207",9105,"2020-03-08","1",6900,2849,6144,-1
"208",9105,"2020-03-09","0",NA,NA,NA,-1
"209",9105,"2020-03-10","0",1370,6803,12628,-1
"210",9105,"2020-03-11","0",1680,6065,6252,-1
"211",9105,"2020-03-12","0",270,3465,3828,NA
"212",9105,"2020-03-13","0",11013,8677,3828,NA
"213",9105,"2020-03-14","1",1084,4798,51,NA
"214",9105,"2020-03-15","1",150,3321,798,NA
"215",9105,"2020-03-16","0",NA,NA,NA,NA
"216",9105,"2020-03-17","0",3876,7540,5263,-1
"217",9105,"2020-03-18","0",2943,19166,525,-1
"218",9105,"2020-03-19","0",NA,NA,1786,-1
"219",9105,"2020-03-20","0",955,4608,3174,-1
"220",9105,"2020-03-21","1",428,446,330,NA
"221",9105,"2020-03-22","1",1498,7863,321,NA
"222",9105,"2020-03-23","0",1995,7865,1357,NA
"223",9105,"2020-03-24","0",2763,11673,2532,NA
"224",9105,"2020-03-25","0",NA,NA,85,NA
"225",9105,"2020-03-26","0",NA,NA,297,NA
"226",9105,"2020-03-27","0",221,2548,531,NA
"227",9105,"2020-03-28","1",163,395,0,NA
"228",9105,"2020-03-29","1",6977,5537,49,NA
"229",9105,"2020-03-30","0",2962,5488,2467,0
"230",9105,"2020-03-31","0",56,2662,2202,-0.5
"231",9105,"2020-04-01","0",NA,NA,1603,-1
"232",9105,"2020-04-02","0",NA,NA,2,-1
"233",9105,"2020-04-03","0",6882,16850,1720,-1
"234",9105,"2020-04-04","1",NA,NA,16,0.25
"235",9105,"2020-04-05","1",NA,NA,339,-1
"236",9105,"2020-04-06","0",NA,NA,NA,NA
"237",9105,"2020-04-07","0",2544,4277,4485,NA
"238",9105,"2020-04-08","0",3514,12196,2025,NA
"239",9105,"2020-04-09","0",4,133,3139,NA
"240",9105,"2020-04-10","0",345,2628,119,NA
"241",9105,"2020-04-11","1",2427,11117,277,-1
"242",9105,"2020-04-13","0",NA,NA,2318,0
"243",9105,"2020-04-14","0",NA,NA,0,1
"244",9105,"2020-04-15","0",1731,1127,143,NA
"245",9105,"2020-04-16","0",1946,9683,299,NA
"246",9105,"2020-04-17","0",777,987,157,NA
"247",9105,"2020-04-18","1",412,560,521,NA
"248",9105,"2020-04-19","1",2,3094,8,NA
"249",9105,"2020-04-20","0",30467,192,525,NA
"250",9105,"2020-04-21","0",1078,953,575,NA
"251",9105,"2020-04-22","0",NA,NA,233,-1
"252",9105,"2020-04-23","0",118,3971,866,NA
"253",9105,"2020-04-24","0",NA,NA,122,NA
"254",9105,"2020-04-25","1",NA,NA,2921,NA
"255",9105,"2020-04-26","1",NA,NA,40,NA
"256",11944,"2020-02-01","1",592,1253,276,NA
"257",11944,"2020-02-02","1",9841,2759,4247,NA
"258",11944,"2020-02-03","0",2448,2027,11484,-1
"259",11944,"2020-02-04","0",162,2176,2454,-1
"260",11944,"2020-02-05","0",2,185,2815,-1
"261",11944,"2020-02-06","0",15255,29071,NA,-1
"262",11944,"2020-02-07","0",1647,7054,4491,0
"263",11944,"2020-02-08","1",NA,NA,NA,-0.5
"264",11944,"2020-02-09","1",1166,2333,604,-1
"265",11944,"2020-02-10","0",172,2452,8595,-1
"266",11944,"2020-02-11","0",34,749,3246,-1
"267",11944,"2020-02-12","0",62,217,1024,-0.5
"268",11944,"2020-02-13","0",1856,982,10273,0
"269",11944,"2020-02-14","0",456,428,7007,0
"270",11944,"2020-02-15",NA,NA,NA,NA,0
"271",11944,"2020-02-16",NA,NA,NA,NA,0
"272",11944,"2020-02-17","0",3656,3617,3528,0
"273",11944,"2020-02-18","0",4447,1957,5722,-1
"274",11944,"2020-02-19","0",NA,NA,301,0
"275",11944,"2020-02-20","0",1403,979,11386,1
"276",11944,"2020-02-21","0",NA,NA,NA,-1
"277",11944,"2020-02-22","1",3059,2927,2955,-1
"278",11944,"2020-02-23","1",4605,7588,1268,0
"279",11944,"2020-02-24","0",778,2923,4737,-1
"280",11944,"2020-02-25","0",1684,1285,31510,-1
"281",11944,"2020-02-26","0",9743,17638,2345,-1
"282",11944,"2020-02-27","0",5801,3432,4404,-1
"283",11944,"2020-02-28","0",3656,3867,5171,1
"284",11944,"2020-02-29","1",NA,NA,12799,0
"285",11944,"2020-03-01","1",637,96,3,-1
"286",11944,"2020-03-02","0",11139,35968,1239,-1
"287",11944,"2020-03-03","0",4699,8463,9764,-1
"288",11944,"2020-03-04","0",NA,NA,NA,-1
"289",11944,"2020-03-05","0",823,2781,18451,-1
"290",11944,"2020-03-06","0",597,1165,1605,-1
"291",11944,"2020-03-07","1",NA,NA,NA,-1
"292",11944,"2020-03-08","1",1265,1676,6401,-1
"293",11944,"2020-03-09","0",8482,365,5869,-1
"294",11944,"2020-03-10",NA,NA,NA,NA,-0.5
"295",11944,"2020-03-11","0",643,3297,3104,0
"296",11944,"2020-03-12","0",2575,1847,7385,0.5
"297",11944,"2020-03-13","0",NA,NA,NA,-1
"298",11944,"2020-03-14","1",99,399,96,-1
"299",11944,"2020-03-15","1",NA,NA,286,-1
"300",11944,"2020-03-16","0",NA,NA,20,-1
"301",11944,"2020-03-17","0",NA,NA,NA,-1
"302",11944,"2020-03-18","0",NA,NA,1798,-1
"303",11944,"2020-03-19","0",1399,5170,10386,-1
